universe,strategy,period,cost_bp,n_phases,median_cagr,median_mdd,median_sharpe,median_benchmark_cagr,median_excess_cagr,median_information_ratio,median_relative_mdd,median_turnover,positive_cagr_phases,positive_excess_phases
K200,WEIGHTED_MOM,BULL_2025,0,10,0.5997916008414677,-0.182620851138468,1.6819068517161198,0.8474539436294959,-0.13405603081042033,-0.564805078017916,-0.33703442484575674,10.576856566957307,10,1
K200,WEIGHTED_MOM,BULL_2025,30,10,0.5501058629702237,-0.18727550629594109,1.5794342106366561,0.8474539436294959,-0.1609501994269502,-0.7135776513347568,-0.3477825395880741,10.576856566957307,10,0
K200,WEIGHTED_MOM,BULL_2025,60,10,0.501901107809578,-0.19168643632729815,1.4763398245242114,0.8474539436294959,-0.1870427336018166,-0.8666663907251229,-0.35837022537494334,10.576856566957307,10,0
K200,WEIGHTED_MOM,EARLY_2017_2019,0,10,-0.08294215746261818,-0.40034409124114473,-0.3715135944474964,0.027164865641854608,-0.1049267206767206,-0.6253632673796757,-0.31399876332272786,12.25808548989739,0,0
K200,WEIGHTED_MOM,EARLY_2017_2019,30,10,-0.11635716777814242,-0.4295512056146616,-0.5691571598373011,0.027164865641854608,-0.13732375310941175,-0.8567204552296428,-0.3763578115604443,12.25808548989739,0,0
K200,WEIGHTED_MOM,EARLY_2017_2019,60,10,-0.14860353766745288,-0.46485022284652033,-0.7649456540211845,0.027164865641854608,-0.16859532225311358,-1.08475456735933,-0.43125174529664945,12.25808548989739,0,0
K200,WEIGHTED_MOM,LATE_2020_2022,0,10,-0.06195158216468921,-0.47320786263915054,-0.10731050403415282,0.0031120961055546292,-0.06486182204645363,-0.2847348031598044,-0.3571310659432219,11.599194580552808,0,0
K200,WEIGHTED_MOM,LATE_2020_2022,30,10,-0.09348854173127558,-0.49745977380456535,-0.23795024916951094,0.0031120961055546292,-0.09630094005632012,-0.4584184526643366,-0.4039678522061525,11.599194580552808,0,0
K200,WEIGHTED_MOM,LATE_2020_2022,60,10,-0.12400897128204424,-0.5206288224038762,-0.36796972922957505,0.0031120961055546292,-0.12672668177477825,-0.6313518761125948,-0.44831803080552435,11.599194580552808,0,0
K200,WEIGHTED_MOM,NORMAL_2023_2024,0,10,-0.059770190480871566,-0.25509092110066534,-0.12717680199941556,0.03542592171588388,-0.09193908535629391,-0.4157815038373705,-0.2249014285974802,11.580045111749786,3,0
K200,WEIGHTED_MOM,NORMAL_2023_2024,30,10,-0.09189585195216143,-0.28585264519196796,-0.26742844466365345,0.03542592171588388,-0.12296560381359928,-0.5885262472226137,-0.2421214316508773,11.580045111749786,0,0
K200,WEIGHTED_MOM,NORMAL_2023_2024,60,10,-0.12296798447976481,-0.3177831037847392,-0.40681619104654987,0.03542592171588388,-0.15297463862326593,-0.7595457502312429,-0.2716559434475744,11.580045111749786,0,0
